Motivation_Description,Intent1
My best friend's mom got us both t-shirts to cheer us up during quarantine. They are supposed to be silly and fun.,4
Had a gift card to The Duck Store so i got this shirt as a gift of my choosing.,3
"I was looking on their website and saw the sweatshirt and wanted it, not needed it.",4
It would work well for going to parties and it was colors and a style I enjoyed. Too short to wear around family though,4
I got it just because I wanted it and because I thought that it was cute. ,5
It was a gift from my grandmother,2
I thought it was cute and I had nothing similar to it.,2
Because it was cute and has soft material.,3
I got this clothing item because I have a few other items from this line and they are  very comfortable. I had the item in my cart for awhile and when it went to sale I decided to get it along with a few other things. ,4
It was my first fraternity clothing item so it was very special to me. I also really wanted it.,3
I had a pair in black and they are comfortable so I got a pair in grey because I do not have many pants at the moment. ,2
"I recently changed my look by shaving off and donating all my hair, and I am now trying out styles I have wanted to try. I got these really cool vintage pants because I was looking for thrifting options where that was someone's only income, and I bought a bundle with three other items to support her shop. Also, the pants are awesome and older than my mom (and are super cute).",4
"The previous pair of shoes that I used for running had a lot of wear and lost its soles, the previous pair of everyday shoes that I had got water logged in the rain and needed replacement.",4
I got the clothing for a themed party. ,3
I wanted a new bathing suit for this summer. I got yellow because it's my favorite color. It was on sale for 12 dollars and that was an important factor for me. I like the way that the bathing suit was supposed to hit me on my waist.,4
"I wanted a new (to me) sweater, and was out on a thrifting trip with a friend.",3
because I wanted to remember the concert,4
I thought the shirt looked good and knew I would wear it and it was on sale.,3
"I wanted new bikini bottoms for the summer, and I only have one pair. ",5
I got it for ski season but also as a base layer when I do other various outdoor activities.,5
I got the t-shirt because I like the color on it. I also liked that it was longer than other t-shirts.,4
It was something that someone bought for me and i think the hoodie style is because of my age and red color because of valentine,2
I got this clothing item because it was something that I found cute and comfortable.,3
I got the clothing item because I thought it looked cool. I also got it because I can put patches in it. I also got it because I wanted to try something new.,2
I decided to get this hat because it came up as an ad on social media and I thought that it was a cool hat. This hat was also on sale so that contributed to my purchase. This is a bucket/sun hat that I believed would be nice to have during the summer.,3
my parents got it for me. it was my birthday. I really love it.,3
I thought it looked cool,4
Because I like the logo on the shirt.,3
I got air forces because they're fresh,1
"My friend dragged me to the store(I normally never shop there, so she wished to get something and see if I would get something too) while everything was half off. I spotted the shirt in particular, and it was a modern-ish take on my usual style(and wasn't akin to wearing a tent like the other available clothes), so I decided to pick it up as a slight mixup on my style formula.",3
I wanted a new summer dress,3
"I chose this clothing item because it was in my line of sight and was the last (most recent) item I have purchased, as asked in the beginning of this portion of the survey.",5
"I haven't bought any new clothes for a long time, and I had some money left over, so I decided to order the shirt because I was taking some time to spoil myself a little. ",2
"I needed something warm for winter, and I love wearing hoodies so it was a perfect mix.",2
They were cute. they looked comfy. They were on sale. ,5
I liked it,4
"It was a Christmas gift from my parents, and I didn't like it so I picked my own pair off amazon",3
I was getting it for as a present for my boyfriend  and it is something that we both can wear whether I am baking or he is cooking. ,2
Cause I impulsively got it.,4
I got this item from work. They give us a company clothing item every month.,4
It was for graduation. ,2
"I got this item because I needed a pair of pants that fit that would work in both casual and professional settings. My body type/size is difficult to find, and this was the first pair of pants that I could find that fit what I've been looking for for a long time.",4
"After Oregon won the Rose Bowl, I have seen people wearing this sweatshirt on campus and I really wanted one. ",4
It was for my birthday and I needed new cloths since I lost a lot of weight,3
I have been wanting this kind of shorts for a while and they happen to be on sale when I looked at the website. ,4
I didn't own a lot of long sleeves and it was really chilly and rainy out most of the time. ,4
I wanted a plain warm sweatshirt because I don't have many and would think in situations that I wished I had one.,4
My swimsuit from last year was too small so I wanted a new one that would fit me for the Summer.,3
"The shirts in my closet were old and I wanted to buy new ones. I was buying the same style of a shirt that I already had so I was not in need of replacing one at the time. It was to get more clothing options, but not to keep up with clothing trends. ",5
It was a souvenir at the game and it completed the rest of my outfit. It's something that will always remind me of that game and I can show to other people.,4
"'-Ive seen similar items to it on people I look up or believe they have good style
-I wanted to get Oregon gear before coming to college
-It was a good price for its quality
-I desired new clothes, hadn't bought any in a long time ",5
It was my birthday and I purchased something nice for myself. ,5
My dad wanted to get clothing off of his sister's website so he bought me this shirt.,3
I really love the meaning behind it. I also love that the man that makes the sweatshirts donates to charities and also works really hard. ,2
"I got the pair of socks because I felt that I needed to have more pairs of socks that were longer becuase it was Winter and starting to get more cold. I chose to get a pair of socks that were cute because I like to ahve cute, little fun socks. ",3
because i needed new black jeans for summer,2
"The reason I got these shorts were because I only have two pairs of jean shorts currently. The shorts I have are too tight and I wanted something that fit a lot looser. Target was having a sale and the shorts were half off and there was free two day shipping, so I bought them.",4
"I was in need of another coat after I found out that where I had just moved was colder than expected, and this item was 50% off",2
"I decided to get a medium length body con black dress. It has short sleeves and it is appropriate for my age. I wear it during the day, and it is very comfortable. ",3
"Due to COVID-19, I was spending all my time at home, which is kind of chilly. So, I wanted a medium-weight sweater that would match anything and look appropriate for zoom meetings--not too dressy, but not informal. Also, J. Crew Factory offers a student discount in addition to their big clearance sales, so I was able to purchase the sweater and have it shipped to me for very little money.",5
"I just kind of felt like it would be a bit of a waste of a t shirt that was cool, had a nice design, was comfortable, and stood for something important in a community. It's a nice shirt and I always hate to see things like that go to waste. ",4
It looked good on and it was a fun piece of clothing with a print that I didn't see all that often on clothing ,4
I wanted something comfortable and easy to wear in the summer but also wanted it to be something of a fashion statement as I enjoy looking nice and presentable for most days. I had seen some similar types of jumpsuits come up on my Pinterest and I really liked the way it looked so I decided this would be perfect for summer. I usually wear sundresses and have a lot of them so I wanted the jumpsuit style so I don't have to worry about my dress flying up. ,4
I didn't really choose to get it. they gave it to me because that was the uniform for the job.,3
I thought it would be an interesting and unique way of remembering some things from this time period in quarantine. ,4
I skateboard and I wanted pants that were more comfortable to skate around in. These pants are baggy and are more ideal that a regular pair of jeans.,4
I got it for lounging around the house and to work out in.,2
I didnt want blisters on my feet. ,2
my dad did business with a professional football team. they gave him some apparel in return. he gave me a nice jacket.,3
